date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:33:34	1453978/1453978	---M--	200	added ('OK')	image/jpeg	etag:CIGV/K6on+8CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1615159051264-ZZFD6NE89N3E2JCOEAS9/MWNYxLevi%27s-24.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1615159051264-ZZFD6NE89N3E2JCOEAS9/MWNYxLevi's-24.jpg	(from https://www.marrisawilsonny.com/levis-x-marrisa-wilson-ny-collaboration)
11:33:34	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/shop-collections	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/shop-collections.1d3.delayed	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:34	0/-1	---M--	302	error ('')			https://www.marrisawilsonny.com/collection	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/collection.1d4.delayed	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:35	802756/802756	---M--	200	added ('OK')	image/jpeg	etag:CP+Sk7Oon+8CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1615159059516-S5KQKB9W99UTB2Z7X2Q7/MWNYxLevi%27s-16.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1615159059516-S5KQKB9W99UTB2Z7X2Q7/MWNYxLevi's-16.jpg	(from https://www.marrisawilsonny.com/levis-x-marrisa-wilson-ny-collaboration)
11:33:36	77567/77567	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2023%20Jan%202024%2006:33:35%20UTC	https://www.marrisawilsonny.com/%22https://player.vimeo.com/video/512168160?app_id=122963\%22	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/_https_/player.vimeo.com/video/512168160.1d54320.delayed	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:38	265453/265453	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2227bc7285305f92900171baa1ddb8db9a%22	https://www.marrisawilsonny.com/%22https://player.vimeo.com/video/512168160?app_id=122963%22	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/www.marrisawilsonny.com/_https_/player.vimeo.com/video/512168160.1d64f9a.delayed	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:40	1323551/1323551	---M--	200	added ('OK')	image/jpeg	etag:CImFjaeB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258775580-ZO0L0YM6CXNV7V3MNUQ2/EDITORIAL+LOOK+1.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258775580-ZO0L0YM6CXNV7V3MNUQ2/EDITORIAL+LOOK+1.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:41	925005/925005	---M--	200	added ('OK')	image/jpeg	etag:CMy2h6eB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258775142-4GAUQMT43GTMZQNR1HJD/EDITORIAL+LOOK+2.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258775142-4GAUQMT43GTMZQNR1HJD/EDITORIAL+LOOK+2.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:43	754642/754642	---M--	200	added ('OK')	image/jpeg	etag:CKaKkaiB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258775989-0UU6Q5Z73MZ8MKZ115BV/EDITORIAL+LOOK+3.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258775989-0UU6Q5Z73MZ8MKZ115BV/EDITORIAL+LOOK+3.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
11:33:43	638305/638305	---M--	200	added ('OK')	image/jpeg	etag:CPT5i6iB6O4CEAE=	https://images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258776209-ISCR85OZAS5KEYGDVB95/EDITORIAL+LOOK+4.jpg	D:/Downloads/Marrisa%20Wilson%20NYC/Marrisa%20Wilson%20NYC/images.squarespace-cdn.com/content/v1/569bffe6e0327c41cd9cd467/1613258776209-ISCR85OZAS5KEYGDVB95/EDITORIAL+LOOK+4.jpg	(from https://www.marrisawilsonny.com/fall-winter-2021-editorial)
